#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-0.997:0.997:300:0 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_5_s_0.1_g:-0.997:0.997:300:0_1.0_30.0_40.0.dat
#g <<v>> qnu(q) mu_q Dx Gx EBx
-3.389781e-01 -3.274823e-06 1.459628e-02 7.738558e+00 6.159386e-04 -1.779293e-01 1.725554e-03
-3.323315e-01 -2.649692e-06 1.541529e-02 7.782129e+00 6.194163e-04 -1.819640e-01 1.763582e-03
-3.256848e-01 -3.098166e-06 1.605431e-02 7.736662e+00 6.157812e-04 -1.738824e-01 1.757741e-03
-3.190382e-01 -2.438378e-06 1.493590e-02 7.756422e+00 6.173647e-04 -1.829446e-01 1.742125e-03
-3.123915e-01 -2.722463e-06 1.553501e-02 7.751981e+00 6.170215e-04 -1.799892e-01 1.704931e-03
-3.057448e-01 -2.320199e-06 1.491814e-02 7.741097e+00 6.161053e-04 -1.775268e-01 1.706123e-03
-2.990982e-01 -1.606401e-06 1.310433e-02 7.679120e+00 6.111927e-04 -1.814919e-01 1.754284e-03
-2.924515e-01 -2.113733e-06 1.278331e-02 7.711016e+00 6.137331e-04 -1.855981e-01 1.737595e-03
-2.858048e-01 -1.889854e-06 1.216178e-02 7.721023e+00 6.145512e-04 -1.901523e-01 1.708269e-03
-2.791582e-01 -2.024350e-06 1.392342e-02 7.713853e+00 6.139607e-04 -1.811836e-01 1.741171e-03
-2.725115e-01 -1.621158e-06 1.235733e-02 7.708425e+00 6.135295e-04 -1.859630e-01 1.765728e-03
-2.658648e-01 -2.099440e-06 1.321683e-02 7.726407e+00 6.149859e-04 -1.869287e-01 1.750350e-03
