#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=s:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=50 --skew=0.99 --distribution=s>> journal_4_s_30_s:-2:3:300:1_1.0_0.99_40.0.dat
#s <<v>> qnu(q) mu_q Dx Gx EBx
1.467794e+01 4.992594e-01 1.007355e+00 3.009668e+06 2.394869e+02 -1.766825e-02 4.562140e-04
1.525217e+01 4.002151e-01 1.006141e+00 3.124128e+06 2.485929e+02 -1.254314e-02 4.807711e-04
1.584887e+01 3.063439e-01 1.004496e+00 3.218848e+06 2.561406e+02 -1.662862e-02 4.538298e-04
1.646892e+01 2.215253e-01 9.955050e-01 3.312276e+06 2.635735e+02 -8.466840e-04 4.693270e-04
1.711322e+01 1.420757e-01 1.004092e+00 3.494150e+06 2.780498e+02 -2.473831e-03 4.659891e-04
1.778273e+01 7.011731e-02 1.005338e+00 3.628845e+06 2.887769e+02 -2.322972e-03 4.628897e-04
1.847843e+01 7.109822e-03 1.001480e+00 3.744237e+06 2.979557e+02 -1.641995e-02 4.786253e-04
1.920134e+01 -4.306928e-02 1.005871e+00 3.907674e+06 3.109662e+02 -3.416717e-03 4.703999e-04
1.995255e+01 -8.530523e-02 1.002838e+00 4.030936e+06 3.207644e+02 2.193332e-03 5.018711e-04
2.073313e+01 -1.156202e-01 1.002680e+00 4.170504e+06 3.318704e+02 -3.154755e-03 4.286766e-04
2.154426e+01 -1.330042e-01 9.980892e-01 4.325078e+06 3.441654e+02 2.516747e-03 4.583597e-04
2.238712e+01 -1.401222e-01 9.984315e-01 4.473923e+06 3.560148e+02 -1.413047e-03 4.684925e-04
2.326295e+01 -1.318638e-01 9.957016e-01 4.635702e+06 3.688945e+02 -2.626896e-03 4.504919e-04
2.417306e+01 -1.102327e-01 1.000912e+00 4.847094e+06 3.857192e+02 -4.805028e-03 4.751682e-04
2.511876e+01 -7.455150e-02 1.005448e+00 5.043354e+06 4.013408e+02 -4.503965e-03 4.498959e-04
2.610146e+01 -2.409494e-02 1.000121e+00 5.207980e+06 4.144320e+02 1.199865e-02 4.957914e-04
2.712261e+01 4.227876e-02 1.001169e+00 5.420168e+06 4.313197e+02 6.269813e-03 4.619360e-04
2.818371e+01 1.249105e-01 1.001928e+00 5.608917e+06 4.463408e+02 5.617261e-03 4.776716e-04
2.928632e+01 2.210952e-01 1.001186e+00 5.792229e+06 4.609200e+02 8.825302e-03 4.695654e-04
3.043207e+01 3.289640e-01 1.000983e+00 5.957538e+06 4.740607e+02 1.173913e-02 4.379749e-04
3.162264e+01 4.548768e-01 9.984038e-01 6.177606e+06 4.915853e+02 4.439592e-03 4.955530e-04
3.285979e+01 5.906675e-01 9.977183e-01 6.401886e+06 5.094128e+02 3.762841e-03 4.475117e-04
3.414534e+01 7.375156e-01 1.000929e+00 6.630192e+06 5.275152e+02 1.618743e-03 4.712343e-04
3.548118e+01 8.899281e-01 9.997234e-01 6.878761e+06 5.473833e+02 -4.427135e-03 4.789829e-04
3.686928e+01 1.050999e+00 9.982419e-01 7.124248e+06 5.669055e+02 -1.223028e-03 4.456043e-04
3.831170e+01 1.212881e+00 9.966776e-01 7.397167e+06 5.887485e+02 -7.955432e-03 4.495382e-04
3.981053e+01 1.366910e+00 9.999396e-01 7.675522e+06 6.108799e+02 -6.571710e-03 4.438162e-04
4.136801e+01 1.513301e+00 1.000533e+00 7.939953e+06 6.319553e+02 2.385497e-03 4.540682e-04
4.298642e+01 1.642163e+00 1.002452e+00 8.252240e+06 6.567904e+02 -4.026830e-03 4.782677e-04
4.466815e+01 1.747348e+00 9.996449e-01 8.500513e+06 6.766084e+02 1.289487e-03 4.738569e-04
4.641567e+01 1.825561e+00 9.977275e-01 8.850380e+06 7.045617e+02 -6.943226e-03 4.842281e-04
4.823155e+01 1.867961e+00 9.973399e-01 9.197741e+06 7.319205e+02 -3.781557e-03 4.738569e-04
5.011848e+01 1.871636e+00 9.993230e-01 9.562093e+06 7.610140e+02 6.421804e-04 4.893541e-04
5.207923e+01 1.840213e+00 1.002000e+00 9.984580e+06 7.945626e+02 -1.366949e-02 4.873276e-04
5.411669e+01 1.771922e+00 9.999894e-01 1.036717e+07 8.248306e+02 -9.667277e-03 5.017519e-04
