#./munderdamped_3d_gle_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-t0.04-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.884996e+01 -1.715127e+00 1.095275e+01 7.773014e-01 1.581211e+04 2.755608e+00 7.821901e-01 3.782511e-04
1.889996e+01 -1.623927e+00 1.085527e+01 9.354646e-01 4.377874e+04 7.398826e+00 2.162197e-01 1.053572e-03
1.894996e+01 -1.402352e+00 1.065277e+01 9.789672e-01 8.962725e+04 1.554013e+01 3.615594e-02 2.402067e-03
1.899996e+01 -1.082084e+00 1.038761e+01 1.024701e+00 1.123228e+05 1.956272e+01 -3.204823e-03 3.441572e-03
1.904996e+01 -7.742170e-01 1.015521e+01 1.004589e+00 9.925037e+04 1.732558e+01 -7.389784e-04 3.755212e-03
1.909996e+01 -5.446190e-01 1.000008e+01 1.021745e+00 8.031679e+04 1.403185e+01 -1.362616e-02 3.592372e-03
1.914996e+01 -3.896412e-01 9.909727e+00 1.005676e+00 6.469895e+04 1.131060e+01 -1.239598e-03 3.424406e-03
1.919995e+01 -2.818131e-01 9.858790e+00 9.937707e-01 5.562326e+04 9.729199e+00 -6.015360e-03 3.275990e-03
1.924995e+01 -2.025793e-01 9.828828e+00 9.847272e-01 4.898396e+04 8.571825e+00 -5.825877e-03 3.179193e-03
1.929995e+01 -1.429943e-01 9.814443e+00 9.688296e-01 4.466389e+04 7.817890e+00 -5.472720e-03 3.175735e-03
1.934995e+01 -9.708808e-02 9.809669e+00 1.008409e+00 4.123436e+04 7.219918e+00 2.989531e-03 3.120661e-03
1.939995e+01 -5.819589e-02 9.809968e+00 9.868472e-01 3.845362e+04 6.732574e+00 -1.135725e-02 3.071547e-03
1.944995e+01 -2.785768e-02 9.816014e+00 1.006148e+00 3.655636e+04 6.399990e+00 -5.085349e-03 3.098845e-03
1.949995e+01 -2.361045e-03 9.825047e+00 1.005112e+00 3.524579e+04 6.170446e+00 -3.890932e-03 3.103733e-03
1.954995e+01 1.568738e-02 9.837580e+00 1.003853e+00 3.367467e+04 5.895418e+00 5.642891e-03 3.107786e-03
1.959995e+01 3.101357e-02 9.852613e+00 9.835978e-01 3.235487e+04 5.664279e+00 9.589195e-04 3.126860e-03
1.964995e+01 4.117589e-02 9.871706e+00 1.012289e+00 3.218240e+04 5.634162e+00 -7.503390e-03 3.130794e-03
1.969995e+01 4.765079e-02 9.893753e+00 9.840913e-01 3.118555e+04 5.459517e+00 -6.466985e-03 3.157139e-03
1.974995e+01 4.988412e-02 9.920075e+00 9.872685e-01 3.073693e+04 5.380857e+00 6.715059e-03 3.145456e-03
1.979995e+01 5.004478e-02 9.951527e+00 9.896579e-01 3.051926e+04 5.342916e+00 -3.964126e-03 3.155351e-03
1.984995e+01 4.649056e-02 9.987588e+00 1.012983e+00 3.007206e+04 5.264678e+00 -1.057720e-02 3.042936e-03
1.989994e+01 3.779584e-02 1.003047e+01 9.910612e-01 3.002972e+04 5.257225e+00 -1.697540e-04 3.050089e-03
1.994994e+01 2.825678e-02 1.007513e+01 9.785227e-01 3.029457e+04 5.303627e+00 3.128171e-03 2.994418e-03
