#./munderdamped_3d_gle_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.1:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a17.0-w11.0-t_0.0_0.1-ratchet.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
6.799996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.747392e+00 2.825502e-04 5.393975e+03 1.996853e+00 2.158244e+00 -5.449653e-04
6.899996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.760009e+00 1.363144e-04 5.008534e+03 1.913520e+00 2.128381e+00 -5.465746e-04
6.999996e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.787154e+00 1.590802e-04 4.606166e+03 1.834738e+00 1.991364e+00 -5.434155e-04
7.099997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.796598e+00 2.281437e-04 4.297073e+03 1.728995e+00 1.897275e+00 -5.489588e-04
7.199997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.823781e+00 1.982183e-04 4.237016e+03 1.761909e+00 2.160656e+00 -5.468726e-04
7.299997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.832190e+00 2.274107e-04 3.985792e+03 1.675774e+00 2.086291e+00 -5.483031e-04
7.399997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.852711e+00 1.811123e-04 3.935431e+03 1.702035e+00 2.118891e+00 -5.482435e-04
7.499997e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.869992e+00 1.462715e-04 3.702443e+03 1.588239e+00 2.024660e+00 -5.477071e-04
7.599998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.876938e+00 2.575190e-04 3.609951e+03 1.625354e+00 2.110986e+00 -5.509257e-04
7.699998e-02 1.700000e+01 1.100000e+01 -1.750132e+00 9.900303e+00 2.644742e-04 3.460516e+03 1.584387e+00 1.978865e+00 -5.497932e-04
