#./munderdamped_3d_ratchet --dev=1 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.899996e+01 -1.750132e+00 9.703136e+00 -1.083619e-04 6.371132e+04 1.180850e+01 2.152896e+00 -2.951026e-04
1.904996e+01 -1.750132e+00 9.756458e+00 1.027152e-04 5.084204e+04 9.558145e+00 2.105510e+00 -1.950264e-04
1.909996e+01 -1.750132e+00 9.827322e+00 -4.224493e-05 4.109261e+04 7.791684e+00 2.088424e+00 -7.492304e-05
1.914996e+01 -1.750132e+00 9.879613e+00 -7.586057e-05 3.352624e+04 6.593152e+00 2.111929e+00 3.314018e-05
1.919995e+01 -1.750132e+00 9.949244e+00 -7.154289e-05 2.792450e+04 5.589648e+00 2.076793e+00 1.460314e-04
1.924995e+01 -1.750132e+00 9.999806e+00 -4.664136e-05 2.357369e+04 4.827392e+00 2.064864e+00 2.590418e-04
1.929995e+01 -1.750132e+00 1.006750e+01 -6.531284e-05 2.012497e+04 4.277670e+00 2.163836e+00 3.440380e-04
1.934995e+01 -1.750133e+00 1.011841e+01 -1.705354e-05 1.701657e+04 3.649868e+00 2.195714e+00 3.212690e-04
1.939995e+01 -1.750112e+00 1.017445e+01 1.131994e-03 1.522687e+04 3.389714e+00 2.052596e+00 2.517700e-04
1.944995e+01 -1.750047e+00 1.023312e+01 3.191578e-03 1.333353e+04 2.994755e+00 1.995933e+00 4.673004e-05
1.949995e+01 -1.749791e+00 1.028047e+01 1.717454e-02 1.263337e+04 2.862751e+00 2.028448e+00 -2.242923e-04
1.954995e+01 -1.748650e+00 1.032580e+01 6.503809e-02 1.248901e+04 2.745104e+00 2.456488e+00 -2.079010e-04
1.959995e+01 -1.743303e+00 1.036456e+01 2.420689e-01 1.460399e+04 3.043774e+00 1.863840e+00 1.180172e-05
1.964995e+01 -1.724378e+00 1.038468e+01 5.625916e-01 2.419571e+04 4.356102e+00 1.236794e+00 2.987385e-04
1.969995e+01 -1.658960e+00 1.035782e+01 8.765280e-01 5.517088e+04 9.437346e+00 5.126452e-01 9.107590e-04
1.974995e+01 -1.491454e+00 1.024169e+01 9.788365e-01 1.165502e+05 2.017512e+01 1.231651e-01 2.449751e-03
1.979995e+01 -1.199629e+00 1.002754e+01 1.022930e+00 1.674402e+05 2.916428e+01 2.646947e-02 4.357815e-03
1.984995e+01 -8.762394e-01 9.796771e+00 9.965664e-01 1.606299e+05 2.803945e+01 -6.409466e-03 5.114555e-03
1.989994e+01 -6.131033e-01 9.621165e+00 1.015657e+00 1.262559e+05 2.206089e+01 -7.484317e-03 4.992366e-03
1.994994e+01 -4.357721e-01 9.515254e+00 1.014675e+00 9.720973e+04 1.699623e+01 -5.510449e-04 4.617929e-03
