#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
1.555961e+02 9.141131e+00 1.087943e+00 9.660367e-01 2.949096e+06 2.346962e+02 -5.963624e-03 2.120733e-04
1.595874e+02 9.141131e+00 1.085791e+00 9.792761e-01 3.039672e+06 2.418764e+02 4.661274e-02 2.183914e-04
1.636811e+02 9.141131e+00 1.078850e+00 9.840901e-01 3.185828e+06 2.535083e+02 2.422225e-02 2.117157e-04
1.678798e+02 9.141131e+00 1.073482e+00 9.997276e-01 3.334926e+06 2.653663e+02 -2.080423e-02 2.207756e-04
1.721862e+02 9.141131e+00 1.072469e+00 9.851413e-01 3.413586e+06 2.716377e+02 4.716063e-02 2.169609e-04
1.766031e+02 9.141131e+00 1.070184e+00 9.898366e-01 3.414648e+06 2.717093e+02 1.265448e-01 2.065897e-04
1.811333e+02 9.141131e+00 1.081192e+00 9.742032e-01 3.501530e+06 2.786421e+02 4.646516e-02 2.341270e-04
1.857796e+02 9.141131e+00 1.090391e+00 9.668185e-01 3.493148e+06 2.779896e+02 1.874185e-02 2.167225e-04
1.905452e+02 9.141131e+00 1.087317e+00 9.642167e-01 3.551348e+06 2.825898e+02 -1.583219e-02 2.284050e-04
1.954330e+02 9.141131e+00 1.081428e+00 9.634821e-01 3.634639e+06 2.892227e+02 -1.501858e-02 2.069473e-04
2.004462e+02 9.141131e+00 1.078579e+00 9.634385e-01 3.909135e+06 3.110916e+02 -5.816680e-02 2.204180e-04
2.055880e+02 9.141131e+00 1.076409e+00 9.635885e-01 4.005857e+06 3.187810e+02 -5.401760e-02 2.238750e-04
2.108617e+02 9.141131e+00 1.077270e+00 9.706291e-01 3.998122e+06 3.181759e+02 -4.166275e-02 2.387762e-04
2.162707e+02 9.141131e+00 1.066162e+00 9.780838e-01 4.122043e+06 3.280352e+02 -3.662217e-02 2.305508e-04
2.218184e+02 9.141131e+00 1.067201e+00 9.618115e-01 3.984088e+06 3.170268e+02 -1.426625e-02 2.194643e-04
2.275084e+02 9.141131e+00 1.056780e+00 9.477215e-01 4.030320e+06 3.207561e+02 -2.939028e-02 2.250671e-04
2.333444e+02 9.141131e+00 1.053409e+00 9.779309e-01 4.460366e+06 3.549193e+02 5.132198e-03 2.324581e-04
2.393301e+02 9.141131e+00 1.053415e+00 9.589992e-01 4.505608e+06 3.585726e+02 3.105330e-02 2.398491e-04
2.454693e+02 9.141131e+00 1.050666e+00 1.016521e+00 4.984258e+06 3.966272e+02 -1.375973e-02 2.306700e-04
2.517661e+02 9.141131e+00 1.043341e+00 1.025295e+00 5.261216e+06 4.186921e+02 6.798506e-04 2.187490e-04
2.582243e+02 9.141131e+00 1.041311e+00 1.002365e+00 5.271477e+06 4.194783e+02 -5.122900e-02 2.229214e-04
2.648482e+02 9.141131e+00 1.049644e+00 9.741032e-01 5.076813e+06 4.039827e+02 5.552197e-02 2.244711e-04
2.716420e+02 9.141131e+00 1.040124e+00 1.007082e+00 5.379832e+06 4.281134e+02 -3.212899e-02 2.111197e-04
2.786101e+02 9.141131e+00 1.035524e+00 1.009661e+00 5.351273e+06 4.258490e+02 -1.825482e-02 2.323389e-04
2.857569e+02 9.141131e+00 1.041210e+00 9.644684e-01 5.117291e+06 4.072307e+02 -4.317731e-02 2.299547e-04
2.930871e+02 9.141131e+00 1.034211e+00 1.017264e+00 5.923239e+06 4.713651e+02 -1.361638e-02 2.321005e-04
3.006053e+02 9.141131e+00 1.036847e+00 1.000083e+00 6.006585e+06 4.779744e+02 -9.535301e-02 2.441406e-04
3.083163e+02 9.141131e+00 1.041381e+00 1.036261e+00 6.476936e+06 5.154067e+02 -2.918440e-02 2.262592e-04
3.162252e+02 9.141131e+00 1.029345e+00 1.032026e+00 6.733630e+06 5.358549e+02 -1.946819e-02 2.104044e-04
3.243369e+02 9.141131e+00 1.032940e+00 9.914443e-01 6.482728e+06 5.158663e+02 -2.500951e-02 2.144575e-04
3.326567e+02 9.141131e+00 1.045174e+00 1.036065e+00 6.888448e+06 5.481583e+02 -4.968166e-03 2.245903e-04
3.411899e+02 9.141131e+00 1.038846e+00 1.047463e+00 7.198428e+06 5.728435e+02 3.193104e-02 2.143383e-04
3.499420e+02 9.141131e+00 1.043014e+00 9.860013e-01 6.623760e+06 5.271151e+02 -6.301284e-03 2.235174e-04
