#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:-1.05:0.05:100:1 --domainy=a:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:-1.05:0.05:100:1_a:0.95:2.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
2.930888e-01 9.141131e+00 9.044307e-01 1.000525e+00 3.593823e+04 2.868290e+00 -6.535113e-03 1.556039e-03
3.006071e-01 9.141131e+00 8.940212e-01 1.006658e+00 3.506888e+04 2.794601e+00 1.173723e-02 1.561522e-03
3.083182e-01 9.141131e+00 8.839681e-01 9.949303e-01 3.413067e+04 2.732531e+00 1.459479e-03 1.570344e-03
3.162272e-01 9.141131e+00 8.751394e-01 1.009783e+00 3.483241e+04 2.800490e+00 6.062269e-03 1.608253e-03
3.243390e-01 9.141131e+00 8.661722e-01 9.982231e-01 3.387053e+04 2.716297e+00 3.287077e-02 1.621962e-03
3.326589e-01 9.141131e+00 8.569394e-01 1.022254e+00 3.371016e+04 2.726165e+00 -1.086915e-02 1.627326e-03
3.411923e-01 9.141131e+00 8.492935e-01 1.007855e+00 3.308280e+04 2.680806e+00 9.089708e-04 1.596212e-03
3.499445e-01 9.141131e+00 8.409320e-01 1.016648e+00 3.373421e+04 2.728871e+00 4.435313e-02 1.645327e-03
3.589213e-01 9.141131e+00 8.333961e-01 1.014410e+00 3.309009e+04 2.697517e+00 6.253004e-03 1.630664e-03
3.681283e-01 9.141131e+00 8.270454e-01 9.922665e-01 3.201300e+04 2.609663e+00 1.290953e-02 1.622677e-03
3.775715e-01 9.141131e+00 8.199896e-01 1.003836e+00 3.189335e+04 2.586268e+00 7.873535e-03 1.653433e-03
3.872570e-01 9.141131e+00 8.137237e-01 1.005653e+00 3.218573e+04 2.605525e+00 -6.697774e-03 1.683950e-03
3.971908e-01 9.141131e+00 8.081264e-01 1.005589e+00 3.184865e+04 2.567806e+00 2.727771e-02 1.679659e-03
4.073796e-01 9.141131e+00 8.025981e-01 9.927531e-01 3.124256e+04 2.520059e+00 2.484941e-02 1.648664e-03
4.178296e-01 9.141131e+00 7.980142e-01 1.011884e+00 3.155588e+04 2.549662e+00 1.148617e-02 1.664519e-03
4.285478e-01 9.141131e+00 7.933971e-01 1.022242e+00 3.237002e+04 2.637516e+00 4.099441e-02 1.700401e-03
4.395409e-01 9.141131e+00 7.891400e-01 1.009337e+00 3.115166e+04 2.519582e+00 4.544818e-02 1.663446e-03
4.508159e-01 9.141131e+00 7.844390e-01 1.009736e+00 3.043138e+04 2.443983e+00 2.257633e-02 1.656771e-03
4.623803e-01 9.141131e+00 7.816804e-01 1.011658e+00 3.078452e+04 2.478997e+00 7.455349e-03 1.660228e-03
4.742412e-01 9.141131e+00 7.785625e-01 1.029577e+00 3.141993e+04 2.532473e+00 -7.868409e-04 1.720548e-03
4.864064e-01 9.141131e+00 7.754740e-01 1.008746e+00 3.040865e+04 2.438254e+00 -3.152913e-02 1.678586e-03
4.988837e-01 9.141131e+00 7.733363e-01 1.007323e+00 3.021622e+04 2.435866e+00 -2.064890e-02 1.653790e-03
5.116810e-01 9.141131e+00 7.710384e-01 1.019535e+00 3.100822e+04 2.497778e+00 -3.018618e-03 1.688719e-03
5.248066e-01 9.141131e+00 7.690346e-01 1.018208e+00 3.067201e+04 2.461013e+00 -5.730987e-03 1.688004e-03
5.382689e-01 9.141131e+00 7.676034e-01 1.015283e+00 3.031838e+04 2.439527e+00 -2.731907e-02 1.646996e-03
5.520766e-01 9.141131e+00 7.671964e-01 1.012190e+00 3.054733e+04 2.446211e+00 -1.957977e-02 1.672149e-03
5.662384e-01 9.141131e+00 7.663719e-01 1.020946e+00 3.045573e+04 2.460695e+00 -1.715845e-02 1.640081e-03
5.807635e-01 9.141131e+00 7.654735e-01 1.011554e+00 3.020700e+04 2.418200e+00 -1.600271e-02 1.637816e-03
5.956612e-01 9.141131e+00 7.659181e-01 1.010521e+00 3.030492e+04 2.445256e+00 -2.550220e-02 1.638055e-03
6.109411e-01 9.141131e+00 7.659706e-01 1.016009e+00 3.051462e+04 2.453373e+00 -1.646006e-02 1.674533e-03
6.266128e-01 9.141131e+00 7.667965e-01 1.005114e+00 3.006136e+04 2.417723e+00 -2.001393e-02 1.639009e-03
6.426867e-01 9.141131e+00 7.679793e-01 1.017600e+00 3.001079e+04 2.403558e+00 1.506746e-02 1.648784e-03
6.591728e-01 9.141131e+00 7.692342e-01 1.000037e+00 2.969346e+04 2.387961e+00 -1.217717e-02 1.610160e-03
6.760818e-01 9.141131e+00 7.706956e-01 1.020741e+00 3.024209e+04 2.423452e+00 3.799582e-02 1.644015e-03
6.934246e-01 9.141131e+00 7.729729e-01 1.007057e+00 2.992911e+04 2.419951e+00 2.798390e-02 1.590729e-03
7.112123e-01 9.141131e+00 7.745941e-01 1.032102e+00 3.075608e+04 2.465151e+00 3.431654e-02 1.621246e-03
7.294562e-01 9.141131e+00 7.774602e-01 1.019840e+00 3.094090e+04 2.495072e+00 5.584967e-02 1.618624e-03
7.481682e-01 9.141131e+00 7.801678e-01 1.016319e+00 3.070236e+04 2.462127e+00 6.340146e-03 1.569748e-03
7.673602e-01 9.141131e+00 7.837542e-01 1.014012e+00 3.069079e+04 2.474223e+00 2.276254e-02 1.568198e-03
7.870444e-01 9.141131e+00 7.873392e-01 9.950603e-01 2.984504e+04 2.406582e+00 3.303337e-02 1.514554e-03
8.072336e-01 9.141131e+00 7.908209e-01 1.004687e+00 3.032855e+04 2.447644e+00 1.623046e-02 1.529336e-03
8.279407e-01 9.141131e+00 7.951860e-01 1.014382e+00 3.099219e+04 2.515444e+00 7.306933e-03 1.529098e-03
8.491790e-01 9.141131e+00 7.997406e-01 9.857879e-01 2.971380e+04 2.406582e+00 1.608634e-02 1.451254e-03
8.709621e-01 9.141131e+00 8.043724e-01 9.892899e-01 3.087225e+04 2.509396e+00 -9.597361e-03 1.494765e-03
8.933039e-01 9.141131e+00 8.099042e-01 9.887544e-01 3.110915e+04 2.510192e+00 1.682365e-02 1.492381e-03
9.162189e-01 9.141131e+00 8.158570e-01 9.814736e-01 3.096225e+04 2.520059e+00 1.703382e-03 1.473904e-03
9.397216e-01 9.141131e+00 8.213161e-01 9.932327e-01 3.192507e+04 2.576559e+00 -1.450342e-02 1.469493e-03
9.638273e-01 9.141131e+00 8.279237e-01 1.001730e+00 3.149797e+04 2.566692e+00 -2.368408e-02 1.443267e-03
9.885514e-01 9.141131e+00 8.340678e-01 1.008089e+00 3.288845e+04 2.666641e+00 -3.278190e-02 1.465082e-03
1.013910e+00 9.141131e+00 8.407968e-01 9.941918e-01 3.141647e+04 2.564623e+00 -2.446926e-02 1.363873e-03
