#./overdamped_3d --dev=1 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:0.95:2.05:100:1 --domainy=a:-0.05:1.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:0.95:2.05:100:1_a:-0.05:1.05:100:1_40_0.99_1.0.dat
#l a <<v>> qnu(q) mu_q Dx Gx EBx
3.681305e+01 9.141132e-01 1.004496e+00 9.768633e-01 7.056052e+05 5.615750e+01 -1.661068e-02 2.375841e-04
3.775738e+01 9.141132e-01 1.003241e+00 9.839391e-01 7.361040e+05 5.856551e+01 -3.180623e-02 2.423525e-04
3.872593e+01 9.141132e-01 1.004206e+00 9.972814e-01 7.639129e+05 6.079432e+01 -2.843314e-02 2.509356e-04
3.971933e+01 9.141132e-01 1.006826e+00 9.859381e-01 7.796099e+05 6.204082e+01 -1.430124e-02 2.425909e-04
4.073821e+01 9.141132e-01 1.003794e+00 9.926032e-01 8.040781e+05 6.399111e+01 -3.942198e-02 2.402067e-04
4.178323e+01 9.141132e-01 1.006713e+00 9.832817e-01 8.117334e+05 6.460449e+01 -2.731609e-02 2.337694e-04
4.285505e+01 9.141132e-01 1.007756e+00 9.874915e-01 8.494350e+05 6.758324e+01 -2.729017e-02 2.552271e-04
4.395437e+01 9.141132e-01 1.006263e+00 9.867505e-01 8.679407e+05 6.907865e+01 -4.470378e-02 2.475977e-04
4.508189e+01 9.141132e-01 1.005310e+00 9.969409e-01 9.058438e+05 7.207650e+01 -4.030454e-02 2.403259e-04
4.623833e+01 9.141132e-01 1.004231e+00 1.005713e+00 9.436393e+05 7.508038e+01 7.897973e-03 2.353191e-04
4.742443e+01 9.141132e-01 1.002465e+00 1.017157e+00 9.537591e+05 7.590067e+01 -1.337659e-02 2.279282e-04
4.864096e+01 9.141132e-01 1.005422e+00 1.012822e+00 9.765020e+05 7.770772e+01 5.774856e-03 2.455711e-04
4.988870e+01 9.141132e-01 1.002788e+00 9.962764e-01 9.929963e+05 7.902902e+01 -1.038474e-02 2.422333e-04
5.116845e+01 9.141132e-01 1.005344e+00 9.830456e-01 9.817921e+05 7.811069e+01 7.289886e-03 2.397299e-04
5.248102e+01 9.141132e-01 1.004944e+00 9.939193e-01 1.034733e+06 8.234740e+01 -3.172183e-02 2.367496e-04
5.382727e+01 9.141132e-01 1.004575e+00 9.737681e-01 1.046208e+06 8.325140e+01 -3.496706e-03 2.324581e-04
5.520805e+01 9.141132e-01 1.005126e+00 9.907681e-01 1.076168e+06 8.564509e+01 -9.899318e-03 2.297163e-04
5.662424e+01 9.141132e-01 1.003346e+00 9.911645e-01 1.110543e+06 8.836791e+01 -3.317624e-02 2.292395e-04
5.807677e+01 9.141132e-01 1.000306e+00 9.903859e-01 1.147932e+06 9.136002e+01 -1.904941e-02 2.281666e-04
5.956656e+01 9.141132e-01 1.002676e+00 9.768325e-01 1.152394e+06 9.172417e+01 -1.613557e-02 2.367496e-04
6.109455e+01 9.141132e-01 1.002427e+00 9.926147e-01 1.209248e+06 9.621298e+01 -2.285045e-02 2.274513e-04
6.266175e+01 9.141132e-01 1.005530e+00 9.861026e-01 1.258286e+06 1.001349e+02 -5.149740e-02 2.354383e-04
6.426916e+01 9.141132e-01 1.002835e+00 9.899077e-01 1.247022e+06 9.924329e+01 -5.656922e-02 2.294779e-04
6.591779e+01 9.141132e-01 1.002130e+00 1.010452e+00 1.311179e+06 1.043292e+02 -3.029352e-02 2.338886e-04
6.760871e+01 9.141132e-01 9.976664e-01 1.000796e+00 1.330530e+06 1.058906e+02 -4.601890e-02 2.349615e-04
6.934301e+01 9.141132e-01 9.993324e-01 1.007856e+00 1.373217e+06 1.092602e+02 -4.574502e-02 2.385378e-04
7.112180e+01 9.141132e-01 1.001920e+00 9.904702e-01 1.384623e+06 1.101846e+02 -2.977902e-02 2.180338e-04
7.294622e+01 9.141132e-01 1.002057e+00 9.970599e-01 1.416369e+06 1.127107e+02 -1.019478e-02 2.257824e-04
7.481744e+01 9.141132e-01 9.998705e-01 9.866449e-01 1.434987e+06 1.141965e+02 9.850502e-03 2.248287e-04
7.673666e+01 9.141132e-01 9.988981e-01 9.773896e-01 1.453396e+06 1.156652e+02 -3.830349e-02 2.359152e-04
7.870510e+01 9.141132e-01 9.976975e-01 9.737955e-01 1.483912e+06 1.181184e+02 -1.008564e-02 2.214909e-04
8.072404e+01 9.141132e-01 1.000287e+00 9.652234e-01 1.486197e+06 1.182757e+02 -1.153684e-02 2.415180e-04
8.279478e+01 9.141132e-01 9.983164e-01 9.697729e-01 1.516182e+06 1.206566e+02 -2.986920e-02 2.323389e-04
8.491863e+01 9.141132e-01 1.005371e+00 9.505168e-01 1.526219e+06 1.214304e+02 -4.127407e-02 2.378225e-04
8.709697e+01 9.141132e-01 1.000056e+00 9.888322e-01 1.645293e+06 1.309444e+02 2.977848e-04 2.292395e-04
8.933118e+01 9.141132e-01 9.992204e-01 9.938005e-01 1.705926e+06 1.357410e+02 5.596721e-02 2.391338e-04
9.162270e+01 9.141132e-01 1.000192e+00 1.017042e+00 1.817475e+06 1.446553e+02 8.488774e-03 2.346039e-04
9.397301e+01 9.141132e-01 9.943432e-01 1.001195e+00 1.809280e+06 1.439572e+02 -1.157880e-03 2.427101e-04
9.638361e+01 9.141132e-01 9.985346e-01 1.006085e+00 1.864089e+06 1.483410e+02 -3.033817e-03 2.366304e-04
9.885604e+01 9.141132e-01 9.982967e-01 9.977080e-01 1.866911e+06 1.485552e+02 9.119630e-03 2.293587e-04
