#m=1, g=1, tau=10^linspace(-3,1,401), M=16, N=1, alpha=3, t = 10^linspace(-6, 2, 1001), b=10, t0=0.01
#tau white_noise eff_mass Markovian_emb
6.165950e-01 3.656681e-01 6.932191e-01 2.084480e-01
6.309573e-01 3.731520e-01 7.269372e-01 2.151224e-01
6.456542e-01 3.808035e-01 7.626563e-01 2.220108e-01
6.606934e-01 3.885729e-01 8.004089e-01 2.291829e-01
6.760830e-01 3.964842e-01 8.403502e-01 2.364969e-01
6.918310e-01 4.045514e-01 8.827512e-01 2.441095e-01
7.079458e-01 4.127390e-01 9.277268e-01 2.519888e-01
7.244360e-01 4.210906e-01 9.756759e-01 2.603139e-01
7.413102e-01 4.296553e-01 1.026689e+00 2.689259e-01
7.585776e-01 4.383456e-01 1.081099e+00 2.778184e-01
7.762471e-01 4.471851e-01 1.139263e+00 2.870231e-01
7.943282e-01 4.562008e-01 1.201654e+00 2.965398e-01
8.128305e-01 4.653440e-01 1.268758e+00 3.070391e-01
8.317638e-01 4.746746e-01 1.341214e+00 3.166971e-01
8.511380e-01 4.842366e-01 1.419857e+00 3.272445e-01
8.709636e-01 4.939311e-01 1.505613e+00 3.381065e-01
8.912509e-01 5.037999e-01 1.599853e+00 3.496328e-01
9.120108e-01 5.138478e-01 1.704389e+00 3.613487e-01
9.332543e-01 5.240290e-01 1.822039e+00 3.734026e-01
9.549926e-01 5.344659e-01 1.957185e+00 3.859100e-01
9.772372e-01 5.451105e-01 2.118953e+00 3.991002e-01
1.000000e+00 5.558932e-01 1.348332e+00 4.124710e-01
1.023293e+00 5.669013e-01 1.335242e+03 4.263665e-01
1.047129e+00 5.780651e-01 3.202219e+03 4.406574e-01
1.071519e+00 5.893866e-01 1.210537e+03 4.555293e-01
1.096478e+00 6.010549e-01 1.406298e+03 4.709357e-01
1.122018e+00 6.128671e-01 1.243130e+03 4.867327e-01
1.148154e+00 6.249695e-01 2.292077e+03 5.030403e-01
1.174898e+00 6.375193e-01 1.619396e+03 5.202185e-01
1.202264e+00 6.503225e-01 7.402641e+03 5.376584e-01
1.230269e+00 6.636147e-01 3.947372e+03 5.553687e-01
1.258925e+00 6.772113e-01 1.265749e+03 5.744216e-01
1.288250e+00 6.911186e-01 1.517887e+03 5.937168e-01
1.318257e+00 7.053958e-01 1.275435e+03 6.134995e-01
1.348963e+00 7.199103e-01 1.213462e+03 6.337906e-01
1.380384e+00 7.348459e-01 1.244324e+03 6.553850e-01
1.412538e+00 7.502569e-01 1.379769e+03 6.772040e-01
1.445440e+00 7.659399e-01 2.057330e+03 6.998953e-01
1.479108e+00 7.820211e-01 1.742925e+03 7.229615e-01
1.513561e+00 7.984278e-01 1.257370e+03 7.471663e-01
1.548817e+00 8.152396e-01 1.359959e+03 7.720622e-01
1.584893e+00 8.325629e-01 1.222303e+03 7.969522e-01
1.621810e+00 8.501788e-01 8.718146e+03 8.246962e-01
1.659587e+00 8.682223e-01 1.400411e+03 8.509663e-01
1.698244e+00 8.866698e-01 1.448618e+03 9.000902e-01
1.737801e+00 9.055337e-01 1.272759e+03 9.109213e-01
1.778279e+00 9.249691e-01 1.830482e+03 9.331799e-01
1.819701e+00 9.447098e-01 4.826276e+03 9.605795e-01
1.862087e+00 9.649161e-01 1.398436e+03 9.911361e-01
1.905461e+00 9.855559e-01 1.296593e+03 1.021207e+00
1.949845e+00 1.006752e+00 4.760243e+03 1.052416e+00
1.995262e+00 1.028576e+00 1.215661e+03 1.083985e+00
2.041738e+00 1.050764e+00 2.166850e+04 1.117537e+00
2.089296e+00 1.073472e+00 1.268045e+03 1.152677e+00
2.137962e+00 1.096576e+00 1.331219e+03 1.187858e+00
2.187762e+00 1.120403e+00 1.658909e+03 1.224412e+00
2.238721e+00 1.144749e+00 1.206493e+03 1.262591e+00
2.290868e+00 1.170520e+00 1.286731e+03 1.301872e+00
2.344229e+00 1.194737e+00 1.768875e+03 1.342773e+00
2.398833e+00 1.220541e+00 2.450303e+04 1.383782e+00
2.454709e+00 1.247209e+00 2.196096e+03 1.428300e+00
2.511886e+00 1.274313e+00 1.612134e+03 1.473291e+00
2.570396e+00 1.302198e+00 1.447741e+03 1.519054e+00
2.630268e+00 1.330512e+00 1.390946e+03 1.568180e+00
2.691535e+00 1.359271e+00 1.386583e+03 1.617919e+00
2.754229e+00 1.389150e+00 1.428765e+03 1.668689e+00
2.818383e+00 1.419422e+00 1.546225e+03 1.720230e+00
2.884032e+00 1.450327e+00 1.866560e+03 1.776441e+00
2.951209e+00 1.481515e+00 3.507165e+03 1.832378e+00
3.019952e+00 1.513936e+00 3.486450e+03 1.887462e+00
3.090295e+00 1.547300e+00 1.616055e+03 1.948151e+00
3.162278e+00 1.581074e+00 1.290409e+03 2.009542e+00
3.235937e+00 1.615454e+00 1.204005e+03 2.072422e+00
3.311311e+00 1.650669e+00 1.282747e+03 2.133559e+00
3.388442e+00 1.686683e+00 3.130462e+03 2.203406e+00
3.467369e+00 1.723703e+00 1.354043e+03 2.271614e+00
3.548134e+00 1.762088e+00 1.212717e+03 2.340758e+00
3.630781e+00 1.800742e+00 1.429139e+03 2.411799e+00
3.715352e+00 1.840614e+00 2.094128e+05 2.490115e+00
3.801894e+00 1.881055e+00 1.376804e+03 2.566069e+00
3.890451e+00 1.922474e+00 1.206711e+03 2.642699e+00
3.981072e+00 1.965078e+00 2.113685e+03 2.726003e+00
4.073803e+00 2.008894e+00 1.264459e+03 2.810889e+00
4.168694e+00 2.053473e+00 1.295254e+03 2.896853e+00
4.265795e+00 2.098712e+00 8.455784e+03 2.980724e+00
4.365158e+00 2.145275e+00 1.302377e+03 3.079863e+00
4.466836e+00 2.192228e+00 1.273180e+03 3.171790e+00
4.570882e+00 2.241953e+00 1.552665e+03 3.262584e+00
4.677351e+00 2.291555e+00 1.238940e+03 3.372061e+00
4.786301e+00 2.342336e+00 4.103241e+03 3.472706e+00
4.897788e+00 2.394526e+00 1.279475e+03 3.574382e+00
5.011872e+00 2.447432e+00 1.379294e+03 3.690404e+00
5.128614e+00 2.502525e+00 1.279465e+03 3.804038e+00
5.248075e+00 2.557984e+00 1.404847e+03 3.911237e+00
5.370318e+00 2.617365e+00 1.797421e+03 4.043143e+00
5.495409e+00 2.674445e+00 1.212236e+03 4.176467e+00
5.623413e+00 2.733867e+00 1.683874e+03 4.271746e+00
5.754399e+00 2.788040e+00 1.272712e+03 4.424572e+00
5.888437e+00 2.858057e+00 2.782694e+03 4.623440e+00
6.025596e+00 2.924175e+00 1.203543e+03 4.602011e+00
6.165950e+00 2.978755e+00 1.890819e+03 4.845437e+00
6.309573e+00 3.043143e+00 1.276148e+03 5.178658e+00
6.456542e+00 3.103707e+00 2.232642e+03 5.062433e+00
6.606934e+00 3.168879e+00 1.213800e+03 6.414411e+00
6.760830e+00 3.236055e+00 1.424432e+03 5.235257e+00
6.918310e+00 3.302121e+00 1.403616e+03 5.722588e+00
7.079458e+00 3.371850e+00 1.482484e+03 5.615791e+00
7.244360e+00 3.442945e+00 1.345823e+03 5.713181e+00
7.413102e+00 3.515466e+00 1.221457e+03 5.939448e+00
7.585776e+00 3.588482e+00 2.484617e+03 6.008582e+00
7.762471e+00 3.662827e+00 1.223153e+03 6.143647e+00
7.943282e+00 3.740827e+00 3.443316e+03 6.308337e+00
8.128305e+00 3.819455e+00 1.283604e+03 6.444225e+00
8.317638e+00 3.899824e+00 1.703177e+03 6.586736e+00
8.511380e+00 3.979706e+00 1.303017e+03 6.746882e+00
8.709636e+00 4.065815e+00 1.220339e+03 6.899976e+00
8.912509e+00 4.151592e+00 3.451548e+03 7.055472e+00
9.120108e+00 4.239151e+00 1.205644e+03 7.222469e+00
9.332543e+00 4.325532e+00 1.554326e+03 7.379671e+00
9.549926e+00 4.420338e+00 1.460584e+03 7.549996e+00
9.772372e+00 4.513792e+00 1.318800e+03 7.726748e+00
1.000000e+01 4.610195e+00 2.471658e+03 7.898122e+00
