#./overdamped_3d --dev=0 --amp=40 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=2d --domainx=l:1.95:3.05:100:1 --domainy=s:0.95:2.05:100:1 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> symmetric_var_lam_l:1.95:3.05:100:1_s:0.95:2.05:100:1_40_0.99_1.0.dat
#l s <<v>> qnu(q) mu_q Dx Gx EBx
6.109340e+02 8.912509e+00 1.040206e+00 9.873486e-01 3.231758e+07 2.571730e+03 -3.380936e-02 4.574060e-04
6.266055e+02 8.912509e+00 9.885979e-01 9.372390e-01 3.099497e+07 2.466483e+03 1.075068e-01 4.237890e-04
6.426790e+02 8.912509e+00 1.026391e+00 9.683546e-01 3.541015e+07 2.817842e+03 1.067572e-01 4.385710e-04
6.591649e+02 8.912509e+00 9.911160e-01 1.016183e+00 3.888737e+07 3.094530e+03 1.959157e-02 4.470348e-04
6.760735e+02 8.912509e+00 9.768022e-01 1.073208e+00 4.148740e+07 3.301425e+03 -7.641983e-02 4.426241e-04
6.934160e+02 8.912509e+00 1.002850e+00 9.857440e-01 4.019449e+07 3.198590e+03 -8.018160e-02 4.650354e-04
7.112034e+02 8.912509e+00 1.021968e+00 1.003228e+00 3.941858e+07 3.136827e+03 -2.188855e-02 4.314184e-04
7.294470e+02 8.912509e+00 1.014334e+00 9.873195e-01 4.008684e+07 3.190016e+03 -1.070040e-02 4.230738e-04
7.481585e+02 8.912509e+00 1.056606e+00 9.834194e-01 3.959289e+07 3.150661e+03 -5.629849e-02 4.438162e-04
7.673501e+02 8.912509e+00 9.433454e-01 9.288175e-01 3.844149e+07 3.059085e+03 -3.743792e-02 4.335642e-04
7.870339e+02 8.912509e+00 9.865763e-01 9.101526e-01 3.947969e+07 3.141679e+03 2.750504e-02 4.560947e-04
8.072227e+02 8.912509e+00 1.073408e+00 1.003464e+00 4.682094e+07 3.725865e+03 -9.640592e-02 4.292727e-04
8.279294e+02 8.912509e+00 9.575293e-01 1.005150e+00 4.910038e+07 3.907260e+03 -1.267090e-01 4.619360e-04
8.491672e+02 8.912509e+00 1.027228e+00 9.946244e-01 4.755449e+07 3.784278e+03 -4.612583e-02 4.223585e-04
8.709498e+02 8.912509e+00 9.596758e-01 9.827785e-01 4.806945e+07 3.825226e+03 -4.751033e-02 4.440546e-04
8.932912e+02 8.912509e+00 9.451966e-01 9.573838e-01 5.145059e+07 4.094292e+03 -3.591102e-02 4.110336e-04
9.162057e+02 8.912509e+00 9.372479e-01 9.528252e-01 4.652939e+07 3.702689e+03 7.171023e-02 4.429817e-04
