#./underdamped_3d --dev=0 --amp=4.818 --omega=4.028 --force=0.01925 --gam=0.1 --Dg=0 --block=1024 --paths=262144 --periods=250000 --trans=249750 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=a:4.818:4.818:1:0 --domainy=w:4.028:4.028:1:0 --domainz=g:0.005:0.0325:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-gaw-f0.01925-D0-a4.818-w4.028-spp200-part0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
3.030005e-02 4.818000e+00 4.028000e+00 2.458018e+00 7.316204e+00 2.006327e+00 8.340944e+10 1.060547e+05 1.360127e+01 3.453493e-04
3.057505e-02 4.818000e+00 4.028000e+00 2.442052e+00 7.316310e+00 2.050196e+00 9.490979e+10 1.208122e+05 1.170550e+01 3.161430e-04
3.085005e-02 4.818000e+00 4.028000e+00 2.434651e+00 7.316422e+00 2.021590e+00 1.002777e+11 1.276226e+05 1.096926e+01 2.084970e-04
3.112505e-02 4.818000e+00 4.028000e+00 2.417994e+00 7.316764e+00 2.004419e+00 1.120382e+11 1.427744e+05 9.608076e+00 1.251698e-04
3.140005e-02 4.818000e+00 4.028000e+00 2.436165e+00 7.316782e+00 2.046378e+00 9.911084e+10 1.261564e+05 1.111121e+01 8.678436e-05
3.167505e-02 4.818000e+00 4.028000e+00 2.456050e+00 7.316846e+00 2.000603e+00 8.475408e+10 1.078086e+05 1.333988e+01 2.312660e-05
3.195005e-02 4.818000e+00 4.028000e+00 2.501351e+00 7.316814e+00 2.002517e+00 5.178259e+10 6.549637e+04 2.309986e+01 -2.199411e-05
3.222505e-02 4.818000e+00 4.028000e+00 2.497177e+00 7.316938e+00 2.027315e+00 5.485438e+10 6.943094e+04 2.169719e+01 -6.914139e-05
3.250000e-02 4.818000e+00 4.028000e+00 2.528321e+00 7.316973e+00 2.017764e+00 3.189866e+10 3.994910e+04 3.876662e+01 -1.086593e-04
3.277500e-02 4.818000e+00 4.028000e+00 2.539779e+00 7.317024e+00 1.992981e+00 2.339071e+10 2.901314e+04 5.358496e+01 -1.513362e-04
3.305000e-02 4.818000e+00 4.028000e+00 2.549447e+00 7.317120e+00 1.985349e+00 1.617120e+10 1.976032e+04 7.839561e+01 -2.229810e-04
3.332500e-02 4.818000e+00 4.028000e+00 2.552025e+00 7.317209e+00 1.968183e+00 1.423497e+10 1.725295e+04 8.939389e+01 -2.589822e-04
3.360000e-02 4.818000e+00 4.028000e+00 2.553265e+00 7.317241e+00 1.991071e+00 1.331184e+10 1.606363e+04 9.574997e+01 -3.474355e-04
3.387500e-02 4.818000e+00 4.028000e+00 2.553404e+00 7.317258e+00 1.985348e+00 1.321062e+10 1.595247e+04 9.646465e+01 -2.998114e-04
3.415000e-02 4.818000e+00 4.028000e+00 2.554036e+00 7.317281e+00 1.987250e+00 1.272700e+10 1.531504e+04 1.002613e+02 -3.525615e-04
3.442501e-02 4.818000e+00 4.028000e+00 2.554489e+00 7.317316e+00 1.970096e+00 1.237992e+10 1.483608e+04 1.031684e+02 -2.939701e-04
3.470001e-02 4.818000e+00 4.028000e+00 2.554409e+00 7.317368e+00 1.983448e+00 1.243686e+10 1.487230e+04 1.027791e+02 -2.585649e-04
3.497501e-02 4.818000e+00 4.028000e+00 2.555727e+00 7.317405e+00 1.983440e+00 1.143622e+10 1.358282e+04 1.117542e+02 -2.223849e-04
3.525001e-02 4.818000e+00 4.028000e+00 2.555334e+00 7.317469e+00 1.970092e+00 1.173584e+10 1.400304e+04 1.088846e+02 -2.028346e-04
3.552501e-02 4.818000e+00 4.028000e+00 2.555275e+00 7.317531e+00 1.977715e+00 1.178453e+10 1.404984e+04 1.083476e+02 -1.900792e-04
3.580001e-02 4.818000e+00 4.028000e+00 2.555412e+00 7.317563e+00 1.973902e+00 1.168204e+10 1.396144e+04 1.092220e+02 -2.288222e-04
3.607501e-02 4.818000e+00 4.028000e+00 2.554290e+00 7.317694e+00 1.979633e+00 1.253633e+10 1.507825e+04 1.016918e+02 -3.305674e-04
3.635001e-02 4.818000e+00 4.028000e+00 2.555471e+00 7.318441e+00 1.970087e+00 1.164142e+10 1.392447e+04 1.095005e+02 -4.338622e-04
3.662501e-02 4.818000e+00 4.028000e+00 2.554920e+00 7.319618e+00 1.985352e+00 1.205896e+10 1.448804e+04 1.057031e+02 -4.985332e-04
3.690001e-02 4.818000e+00 4.028000e+00 2.555805e+00 7.320856e+00 1.975814e+00 1.138678e+10 1.360349e+04 1.119479e+02 -6.253123e-04
3.717501e-02 4.818000e+00 4.028000e+00 2.555748e+00 7.321239e+00 1.970092e+00 1.143475e+10 1.368113e+04 1.114059e+02 -6.586313e-04
3.745002e-02 4.818000e+00 4.028000e+00 2.556357e+00 7.321486e+00 1.977723e+00 1.097522e+10 1.310924e+04 1.159762e+02 -7.939339e-04
3.772502e-02 4.818000e+00 4.028000e+00 2.556259e+00 7.321714e+00 1.975807e+00 1.105239e+10 1.323058e+04 1.150935e+02 -8.112192e-04
3.800002e-02 4.818000e+00 4.028000e+00 2.556574e+00 7.321931e+00 1.973910e+00 1.081929e+10 1.296211e+04 1.174183e+02 -7.781386e-04
3.827502e-02 4.818000e+00 4.028000e+00 2.556417e+00 7.322553e+00 1.966273e+00 1.094824e+10 1.313083e+04 1.158003e+02 -7.275343e-04
3.855002e-02 4.818000e+00 4.028000e+00 2.556987e+00 7.323118e+00 1.970095e+00 1.053107e+10 1.261608e+04 1.199924e+02 -7.528067e-04
3.882502e-02 4.818000e+00 4.028000e+00 2.556949e+00 7.324678e+00 1.958649e+00 1.057891e+10 1.273944e+04 1.190206e+02 -7.320046e-04
3.910002e-02 4.818000e+00 4.028000e+00 2.556556e+00 7.325392e+00 1.954839e+00 1.090382e+10 1.320243e+04 1.149875e+02 -7.082224e-04
3.937502e-02 4.818000e+00 4.028000e+00 2.556456e+00 7.324763e+00 1.958651e+00 1.100202e+10 1.339518e+04 1.134969e+02 -7.022023e-04
3.965002e-02 4.818000e+00 4.028000e+00 2.557381e+00 7.325170e+00 1.941480e+00 1.031188e+10 1.245131e+04 1.207450e+02 -7.417798e-04
3.992502e-02 4.818000e+00 4.028000e+00 2.557499e+00 7.325350e+00 1.947209e+00 1.023315e+10 1.241257e+04 1.214527e+02 -7.336140e-04
4.020002e-02 4.818000e+00 4.028000e+00 2.555296e+00 7.324479e+00 1.958656e+00 1.167202e+10 1.426260e+04 1.049056e+02 -7.072091e-04
4.047503e-02 4.818000e+00 4.028000e+00 2.554743e+00 7.325559e+00 1.952929e+00 1.236906e+10 1.523765e+04 9.992856e+01 -8.555651e-04
4.075003e-02 4.818000e+00 4.028000e+00 2.554998e+00 7.325582e+00 1.924321e+00 1.228257e+10 1.522538e+04 9.905814e+01 -8.712411e-04
4.102503e-02 4.818000e+00 4.028000e+00 2.556201e+00 7.325619e+00 1.891903e+00 1.150428e+10 1.425428e+04 1.037160e+02 -9.440184e-04
4.130003e-02 4.818000e+00 4.028000e+00 2.556122e+00 7.325673e+00 1.863297e+00 1.175931e+10 1.466130e+04 9.891938e+01 -1.042008e-03
4.157503e-02 4.818000e+00 4.028000e+00 2.552853e+00 7.325779e+00 1.853749e+00 1.442337e+10 1.810759e+04 7.957999e+01 -1.103222e-03
4.185003e-02 4.818000e+00 4.028000e+00 2.552715e+00 7.325854e+00 1.798453e+00 1.497859e+10 1.887980e+04 7.326306e+01 -1.197517e-03
4.212503e-02 4.818000e+00 4.028000e+00 2.551692e+00 7.325948e+00 1.733607e+00 1.647792e+10 2.085494e+04 6.265289e+01 -1.257360e-03
4.240003e-02 4.818000e+00 4.028000e+00 2.473287e+00 7.207901e+00 1.888095e+00 4.362381e+10 5.579603e+04 1.078069e+01 7.762194e-03
4.267503e-02 4.818000e+00 4.028000e+00 2.251862e+00 6.873667e+00 2.021566e+00 1.043031e+11 1.338540e+05 1.707607e+00 3.360999e-02
4.295003e-02 4.818000e+00 4.028000e+00 1.968560e+00 6.444201e+00 1.970112e+00 1.598159e+11 2.051879e+05 1.093305e-01 6.667125e-02
4.322504e-02 4.818000e+00 4.028000e+00 1.642292e+00 5.950592e+00 1.914790e+00 1.961477e+11 2.518018e+05 -3.968391e-01 1.029438e-01
4.350004e-02 4.818000e+00 4.028000e+00 1.412809e+00 5.604671e+00 2.027314e+00 2.099599e+11 2.695138e+05 -5.156168e-01 1.256961e-01
