#./underdamped_3d_long --dev=0 --amp=3.3 --omega=4.04 --force=0.004 --gam=0.08 --Dg=0.1 --block=1024 --paths=65536 --periods=2000000 --trans=1998000 --samples=20 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-5:50:1 --domainy=a:3.3:3.3:1:0 --domainz=w:4.04:4.04:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> ./temp/3d-Daw-f0.004-g0.08-a3.3-w4.04-part0.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
5.495400e-05 3.300000e+00 4.040000e+00 4.131058e-03 1.880155e+00 5.528429e-01 4.781191e+07 7.685629e+00 4.530191e-03 2.117276e-03
5.754390e-05 3.300000e+00 4.040000e+00 4.359383e-03 1.878623e+00 6.711030e-01 4.423126e+07 7.110270e+00 -3.882647e-03 1.994729e-03
6.025585e-05 3.300000e+00 4.040000e+00 4.690573e-03 1.876595e+00 8.769184e-01 4.031871e+07 6.481661e+00 -4.762709e-03 1.854420e-03
6.309562e-05 3.300000e+00 4.040000e+00 5.296002e-03 1.875095e+00 8.922575e-01 3.804424e+07 6.115881e+00 -1.125687e-02 1.739502e-03
6.606922e-05 3.300000e+00 4.040000e+00 5.646966e-03 1.873583e+00 9.322788e-01 3.520490e+07 5.659444e+00 1.340151e-02 1.619577e-03
6.918297e-05 3.300000e+00 4.040000e+00 6.199896e-03 1.872041e+00 5.014739e-01 3.285457e+07 5.282196e+00 1.628518e-03 1.505136e-03
7.244346e-05 3.300000e+00 4.040000e+00 6.731484e-03 1.869984e+00 1.288855e+00 3.078957e+07 4.949161e+00 -6.400347e-04 1.414776e-03
7.585761e-05 3.300000e+00 4.040000e+00 6.720668e-03 1.868859e+00 6.844895e-01 2.879108e+07 4.628902e+00 -4.042447e-03 1.344681e-03
7.943267e-05 3.300000e+00 4.040000e+00 6.584456e-03 1.867569e+00 1.050445e+00 2.772439e+07 4.457389e+00 -9.272099e-04 1.282811e-03
8.317621e-05 3.300000e+00 4.040000e+00 6.595416e-03 1.866840e+00 8.768927e-01 2.599401e+07 4.178349e+00 4.617333e-03 1.212239e-03
8.709618e-05 3.300000e+00 4.040000e+00 6.769873e-03 1.865827e+00 1.252595e+00 2.474460e+07 3.979162e+00 2.112389e-04 1.155496e-03
9.120089e-05 3.300000e+00 4.040000e+00 6.850987e-03 1.865213e+00 1.056174e+00 2.327842e+07 3.741494e+00 -2.069592e-03 1.112580e-03
9.549905e-05 3.300000e+00 4.040000e+00 6.993736e-03 1.863916e+00 1.327002e+00 2.232608e+07 3.588777e+00 -3.771365e-03 1.065731e-03
1.000000e-04 3.300000e+00 4.040000e+00 7.003950e-03 1.862785e+00 6.653315e-01 2.142841e+07 3.444954e+00 8.463502e-03 9.932518e-04
1.047129e-04 3.300000e+00 4.040000e+00 7.286033e-03 1.862072e+00 7.606812e-01 2.053130e+07 3.301028e+00 3.633738e-03 9.672642e-04
1.096478e-04 3.300000e+00 4.040000e+00 7.181014e-03 1.861464e+00 9.647228e-01 2.007244e+07 3.227434e+00 2.261400e-04 9.324551e-04
1.148153e-04 3.300000e+00 4.040000e+00 7.139670e-03 1.860403e+00 1.119126e+00 1.906872e+07 3.065891e+00 -8.085370e-03 9.037256e-04
1.202264e-04 3.300000e+00 4.040000e+00 7.364578e-03 1.859794e+00 8.637422e-01 1.817716e+07 2.921533e+00 -7.763505e-04 8.859634e-04
1.258925e-04 3.300000e+00 4.040000e+00 7.449396e-03 1.858904e+00 5.870746e-01 1.752018e+07 2.815784e+00 6.787539e-03 8.578300e-04
1.318256e-04 3.300000e+00 4.040000e+00 7.580458e-03 1.858392e+00 1.204954e+00 1.710357e+07 2.749922e+00 5.769014e-03 8.369684e-04
1.380384e-04 3.300000e+00 4.040000e+00 7.815173e-03 1.857800e+00 1.042972e+00 1.653943e+07 2.659379e+00 1.756787e-03 8.115768e-04
1.445439e-04 3.300000e+00 4.040000e+00 7.380439e-03 1.857136e+00 1.464222e+00 1.602309e+07 2.575586e+00 -6.367624e-03 7.686615e-04
1.513561e-04 3.300000e+00 4.040000e+00 7.694350e-03 1.856527e+00 1.080991e+00 1.542218e+07 2.477780e+00 -9.207308e-03 7.617474e-04
1.584892e-04 3.300000e+00 4.040000e+00 7.940279e-03 1.855477e+00 1.109627e+00 1.490124e+07 2.396064e+00 9.494901e-03 7.441044e-04
