#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=0.1 --skew=0.99 --distribution=s>> journal_3_s_0.1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
9.999950e-01 1.243156e-03 7.544196e-01 5.803786e+01 4.619741e-03 3.559535e-01 3.755498e-02
1.039117e+00 1.532650e-03 7.759518e-01 6.864705e+01 5.457815e-03 3.119279e-01 3.833008e-02
1.079770e+00 1.919154e-03 8.074874e-01 8.287171e+01 6.582463e-03 1.618739e-01 3.938615e-02
1.122013e+00 2.379948e-03 8.340877e-01 1.010765e+02 8.023630e-03 1.266552e-01 4.033005e-02
1.165909e+00 2.970596e-03 8.711668e-01 1.269841e+02 1.009328e-02 1.115557e-01 4.141951e-02
1.211522e+00 3.721840e-03 9.062349e-01 1.597100e+02 1.272545e-02 8.195794e-02 4.194403e-02
1.258919e+00 4.620983e-03 9.228955e-01 1.953815e+02 1.553715e-02 3.985286e-02 4.145503e-02
1.308171e+00 5.784302e-03 9.337699e-01 2.400573e+02 1.903125e-02 6.954026e-02 4.002357e-02
1.359350e+00 7.165715e-03 9.487338e-01 2.989217e+02 2.368990e-02 4.139185e-02 3.874135e-02
1.412530e+00 8.893467e-03 9.520420e-01 3.672251e+02 2.912528e-02 5.761683e-02 3.661716e-02
1.467792e+00 1.093686e-02 9.533122e-01 4.411062e+02 3.483512e-02 1.515639e-02 3.368211e-02
1.525215e+00 1.346487e-02 9.646334e-01 5.493035e+02 4.366064e-02 1.704895e-02 3.156698e-02
1.584885e+00 1.643641e-02 9.723645e-01 6.699828e+02 5.349657e-02 2.559924e-02 2.895498e-02
1.646890e+00 1.991702e-02 9.754385e-01 8.046122e+02 6.437693e-02 4.029751e-02 2.626812e-02
1.711320e+00 2.399352e-02 9.876305e-01 9.722651e+02 7.740541e-02 -2.054989e-03 2.391434e-02
1.778270e+00 2.866453e-02 9.813952e-01 1.148353e+03 9.040653e-02 1.825392e-02 2.141464e-02
1.847840e+00 3.394352e-02 9.825718e-01 1.351757e+03 1.053870e-01 1.974344e-02 1.913893e-02
1.920132e+00 3.988918e-02 9.849332e-01 1.598655e+03 1.212642e-01 6.088018e-03 1.724517e-02
1.995252e+00 4.684676e-02 9.788764e-01 1.850431e+03 1.441807e-01 -1.971531e-02 1.526153e-02
2.073311e+00 5.550617e-02 9.995791e-01 2.246806e+03 1.822610e-01 -2.395463e-02 1.386034e-02
2.154424e+00 6.638088e-02 9.947097e-01 2.653316e+03 2.163202e-01 -2.532899e-03 1.210618e-02
2.238710e+00 8.063433e-02 9.989807e-01 3.237015e+03 2.668233e-01 -3.062916e-02 1.049745e-02
2.326294e+00 1.004563e-01 1.005383e+00 4.048598e+03 3.143434e-01 -7.729948e-03 8.964539e-03
2.417304e+00 1.281869e-01 1.012363e+00 5.217577e+03 4.080782e-01 1.765990e-02 7.556319e-03
