#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=262144 --periods=1000 --trans=100 --samples=100 --spp=500 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=p:-3:2:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=1 --skew=0.99 --distribution=s>> journal_3_s_1_p:-3:2:300:1_1.0_0.99_40.0.dat
#p <<v>> qnu(q) mu_q Dx Gx EBx
1.995252e-01 3.925207e-01 1.000120e+00 1.525156e+04 1.113488e+00 -2.108324e-02 3.133535e-03
2.073311e-01 3.811757e-01 9.964339e-01 1.470025e+04 1.104137e+00 -3.814232e-02 3.200650e-03
2.154424e-01 3.703614e-01 9.940960e-01 1.421384e+04 1.032677e+00 -3.010470e-02 3.274798e-03
2.238710e-01 3.601944e-01 1.009462e+00 1.426152e+04 1.019745e+00 -2.069747e-02 3.398418e-03
2.326293e-01 3.503978e-01 1.000664e+00 1.371920e+04 9.768134e-01 -2.471334e-02 3.518701e-03
2.417303e-01 3.412279e-01 1.003898e+00 1.349142e+04 9.941216e-01 -2.037907e-02 3.550291e-03
2.511873e-01 3.323163e-01 1.003988e+00 1.319142e+04 1.028220e+00 -2.331591e-02 3.653049e-03
2.610143e-01 3.239077e-01 1.012396e+00 1.290332e+04 1.009062e+00 -3.019184e-02 3.788471e-03
2.712258e-01 3.162220e-01 1.000976e+00 1.236744e+04 9.434705e-01 -3.133631e-02 3.794432e-03
2.818368e-01 3.087179e-01 9.955018e-01 1.188070e+04 8.580043e-01 -4.286677e-02 3.812075e-03
2.928629e-01 3.017226e-01 9.913753e-01 1.152912e+04 8.243231e-01 -2.163464e-02 3.944874e-03
3.043203e-01 2.951099e-01 9.921218e-01 1.125609e+04 8.202249e-01 -2.325737e-02 3.967166e-03
3.162260e-01 2.886868e-01 9.820060e-01 1.086034e+04 8.257754e-01 -2.018714e-02 3.992438e-03
3.285975e-01 2.825609e-01 9.860910e-01 1.074919e+04 8.445756e-01 -8.749127e-03 4.142880e-03
