#./munderdamped_3d --dev=2 --amp=120 --omega=1 --mass=0.017 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_0.017.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
2.511882e+00 1.024887e+00 7.713470e+03 9.979032e-01 1.751820e+06 1.394134e+02 -7.646024e-03 3.939491e+00 3.576279e-05 4.720557e-02
2.590195e+00 1.029809e+00 7.714140e+03 1.034306e+00 1.806286e+06 1.437440e+02 -3.860027e-02 4.736442e+00 3.540516e-05 4.799628e-02
2.670950e+00 1.022436e+00 7.713659e+03 1.028723e+00 1.807543e+06 1.438331e+02 1.354480e-02 4.822886e+00 3.659725e-05 4.827297e-02
2.754223e+00 1.032591e+00 7.713577e+03 1.028393e+00 1.809811e+06 1.440260e+02 -4.919171e-04 3.659247e+00 3.600121e-05 4.728866e-02
2.840092e+00 1.031864e+00 7.714170e+03 1.024769e+00 1.853164e+06 1.474631e+02 -1.555729e-02 3.965540e+00 4.160404e-05 4.923105e-02
2.928639e+00 1.024075e+00 7.712680e+03 1.001846e+00 1.762487e+06 1.402585e+02 -3.944093e-02 4.150062e+00 3.635883e-05 4.779458e-02
3.019946e+00 1.028602e+00 7.713051e+03 1.008579e+00 1.796629e+06 1.429641e+02 -2.819234e-02 3.709283e+00 3.910065e-05 4.772234e-02
3.114099e+00 1.027173e+00 7.713576e+03 9.937841e-01 1.750350e+06 1.392867e+02 -2.998853e-02 3.239843e+00 3.552437e-05 4.620481e-02
3.211188e+00 1.034163e+00 7.713759e+03 1.019803e+00 1.805458e+06 1.436752e+02 -5.280668e-02 3.936325e+00 3.826618e-05 4.719770e-02
3.311304e+00 1.030671e+00 7.712863e+03 1.013408e+00 1.808360e+06 1.438955e+02 -3.525788e-02 7.133658e+00 3.981590e-05 4.780281e-02
3.414541e+00 1.030064e+00 7.713293e+03 1.028469e+00 1.827766e+06 1.454441e+02 -2.493143e-02 4.433025e+00 4.053116e-05 4.774082e-02
3.520998e+00 1.040452e+00 7.714782e+03 1.022978e+00 1.815130e+06 1.444573e+02 -3.682256e-02 3.311219e+00 3.802776e-05 4.696429e-02
3.630773e+00 1.039189e+00 7.711787e+03 1.007634e+00 1.787626e+06 1.422568e+02 -1.561505e-02 4.205308e+00 3.659725e-05 4.717946e-02
3.743970e+00 1.038827e+00 7.712512e+03 1.012083e+00 1.781120e+06 1.417367e+02 -5.143642e-03 3.503388e+00 3.397465e-05 4.708529e-02
3.860697e+00 1.040398e+00 7.712965e+03 1.017891e+00 1.759697e+06 1.400398e+02 -2.036911e-02 3.126493e+00 3.528595e-05 4.527080e-02
3.981063e+00 1.038422e+00 7.711154e+03 1.025828e+00 1.838829e+06 1.463350e+02 -1.985919e-02 2.995108e+00 3.921986e-05 4.833460e-02
4.105181e+00 1.051504e+00 7.712957e+03 1.009837e+00 1.765020e+06 1.404561e+02 -2.353692e-02 4.233224e+00 3.910065e-05 4.500008e-02
4.233170e+00 1.048778e+00 7.711966e+03 1.019403e+00 1.821955e+06 1.449886e+02 -4.618037e-02 3.153623e+00 4.005432e-05 4.582584e-02
4.365148e+00 1.048116e+00 7.711837e+03 9.965503e-01 1.743730e+06 1.387513e+02 -1.506346e-02 3.251483e+00 4.124641e-05 4.441833e-02
4.501241e+00 1.057575e+00 7.713178e+03 1.023222e+00 1.800910e+06 1.433133e+02 -8.613765e-03 3.769119e+00 3.993511e-05 4.480278e-02
4.641578e+00 1.057705e+00 7.711787e+03 1.022384e+00 1.759155e+06 1.399943e+02 -4.783881e-02 3.190799e+00 3.743172e-05 4.437804e-02
4.786289e+00 1.057306e+00 7.710028e+03 1.016255e+00 1.721228e+06 1.369697e+02 8.862615e-03 4.903145e+00 3.921986e-05 4.477727e-02
4.935513e+00 1.057080e+00 7.710951e+03 1.005259e+00 1.778790e+06 1.415604e+02 -6.583989e-03 2.976599e+00 4.005432e-05 4.493189e-02
5.089388e+00 1.065460e+00 7.710596e+03 1.013961e+00 1.768213e+06 1.407121e+02 -1.892513e-02 2.743888e+00 3.933907e-05 4.379547e-02
5.248061e+00 1.072065e+00 7.710973e+03 1.002042e+00 1.795366e+06 1.428750e+02 -1.255572e-03 3.901597e+00 4.065037e-05 4.339731e-02
5.411681e+00 1.073848e+00 7.710036e+03 9.849393e-01 1.735144e+06 1.380835e+02 7.289290e-03 3.295538e+00 3.957748e-05 4.258823e-02
5.580403e+00 1.080408e+00 7.710077e+03 1.038985e+00 1.828713e+06 1.455259e+02 -7.341802e-03 5.655248e+00 3.898144e-05 4.477072e-02
5.754384e+00 1.082753e+00 7.711353e+03 1.011481e+00 1.807181e+06 1.438274e+02 -6.798387e-03 5.179048e+00 3.957748e-05 4.375279e-02
5.933790e+00 1.081791e+00 7.710788e+03 1.050894e+00 1.834323e+06 1.459744e+02 -2.601665e-02 3.541192e+00 4.136562e-05 4.444313e-02
6.118789e+00 1.089934e+00 7.710229e+03 1.036227e+00 1.831276e+06 1.457325e+02 -3.153032e-02 2.916767e+00 3.278255e-05 4.339755e-02
6.309556e+00 1.089497e+00 7.709293e+03 9.880931e-01 1.811078e+06 1.441269e+02 -3.443706e-02 4.072492e+00 3.921986e-05 4.275501e-02
6.506271e+00 1.104828e+00 7.709870e+03 1.030316e+00 1.815099e+06 1.444452e+02 6.643891e-03 3.377983e+00 3.898144e-05 4.189539e-02
6.709118e+00 1.104690e+00 7.710000e+03 1.012675e+00 1.788025e+06 1.422836e+02 -1.166385e-02 3.950760e+00 3.778934e-05 4.110706e-02
6.918290e+00 1.115121e+00 7.710153e+03 1.001871e+00 1.785925e+06 1.421171e+02 -3.873467e-02 4.410753e+00 4.029274e-05 4.043555e-02
7.133984e+00 1.122132e+00 7.710834e+03 1.012658e+00 1.764984e+06 1.404463e+02 -4.120719e-02 4.313834e+00 3.778934e-05 3.988242e-02
7.356401e+00 1.123164e+00 7.707813e+03 1.012392e+00 1.835833e+06 1.460848e+02 -8.327270e-02 2.996105e+00 3.743172e-05 4.088473e-02
7.585754e+00 1.138734e+00 7.709062e+03 1.020384e+00 1.784559e+06 1.420140e+02 7.894039e-04 2.757783e+00 4.208088e-05 3.903961e-02
7.822257e+00 1.135369e+00 7.707407e+03 9.914979e-01 1.792300e+06 1.426257e+02 -6.787807e-02 4.442695e+00 3.993511e-05 3.869259e-02
8.066133e+00 1.146473e+00 7.708029e+03 1.036421e+00 1.815926e+06 1.444977e+02 -2.659726e-02 3.074765e+00 4.255772e-05 3.922987e-02
8.317613e+00 1.147875e+00 7.706202e+03 1.040247e+00 1.870266e+06 1.488411e+02 -3.090274e-02 2.991757e+00 3.778934e-05 3.948045e-02
8.576933e+00 1.160747e+00 7.706322e+03 1.014662e+00 1.800086e+06 1.432286e+02 -4.482991e-02 3.880006e+00 3.707409e-05 3.696620e-02
8.844338e+00 1.168424e+00 7.706726e+03 1.022504e+00 1.767338e+06 1.406490e+02 -5.838931e-03 3.623822e+00 4.291534e-05 3.638244e-02
