#./underdamped_3d_var --dev=0 --amp=8.91 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-2:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp8.91.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
6.309553e-01 4.129504e-04 1.223659e+01 6.297875e-05 1.014661e+00 8.781839e+08 1.111150e+02 -6.368816e-03 -3.726545e-01 1.335144e-05 3.683162e+02
6.760808e-01 4.608784e-04 1.230596e+01 6.444199e-05 9.835089e-01 9.058265e+08 1.146124e+02 1.191628e-02 -3.711094e-01 7.867813e-06 3.023865e+02
7.244336e-01 3.333571e-04 1.238253e+01 6.837583e-05 9.903916e-01 9.569657e+08 1.210832e+02 -1.698077e-03 -3.632499e-01 6.675720e-06 6.142946e+02
7.762446e-01 4.061429e-04 1.246610e+01 7.377923e-05 9.941626e-01 1.033930e+09 1.308210e+02 1.441133e-02 -3.530173e-01 7.987022e-06 4.462768e+02
8.317611e-01 4.954084e-04 1.255640e+01 7.728787e-05 9.923239e-01 1.083036e+09 1.370345e+02 3.925443e-03 -3.540677e-01 1.001358e-05 3.139086e+02
8.912480e-01 4.735392e-04 1.265398e+01 8.429636e-05 1.011608e+00 1.177038e+09 1.489290e+02 -6.875873e-03 -3.540720e-01 1.192093e-05 3.749213e+02
9.549895e-01 5.456923e-04 1.275811e+01 8.665812e-05 9.984037e-01 1.202298e+09 1.521246e+02 -6.258786e-03 -3.360608e-01 4.291534e-06 2.900138e+02
1.023290e+00 3.959171e-04 1.286889e+01 9.273341e-05 1.002892e+00 1.295645e+09 1.639366e+02 -2.761537e-02 -3.274763e-01 3.218651e-06 5.905995e+02
1.096475e+00 2.143227e-04 1.298626e+01 9.481569e-05 9.990885e-01 1.325039e+09 1.676546e+02 -1.484323e-02 -3.297346e-01 4.291534e-06 2.063161e+03
1.174894e+00 2.839458e-04 1.311019e+01 1.006019e-04 1.012721e+00 1.405450e+09 1.778288e+02 -2.650118e-02 -3.249246e-01 9.536743e-07 1.246772e+03
1.258921e+00 2.419636e-04 1.323978e+01 1.051215e-04 9.970442e-01 1.470338e+09 1.860387e+02 -3.978014e-02 -3.191494e-01 4.768372e-07 1.794525e+03
1.348958e+00 2.465339e-04 1.337610e+01 1.087897e-04 9.994187e-01 1.516931e+09 1.919345e+02 -1.911169e-02 -3.154931e-01 6.794930e-06 1.788924e+03
1.445435e+00 4.744648e-04 1.351856e+01 1.114138e-04 9.949732e-01 1.563638e+09 1.978440e+02 -9.089351e-03 -3.119242e-01 8.583069e-06 4.939153e+02
1.548812e+00 1.314942e-04 1.366662e+01 1.156891e-04 9.947026e-01 1.616137e+09 2.044869e+02 -2.005506e-02 -3.130096e-01 -2.384186e-07 6.689819e+03
1.659582e+00 2.732775e-05 1.382116e+01 1.240168e-04 1.010803e+00 1.748065e+09 2.211794e+02 -2.950025e-02 -3.036922e-01 6.198883e-06 1.660620e+05
1.778274e+00 1.133738e-05 1.398159e+01 1.287510e-04 1.011187e+00 1.787550e+09 2.261750e+02 -1.486611e-02 -2.956936e-01 3.576279e-07 1.001671e+06
1.905454e+00 2.042581e-04 1.414823e+01 1.284766e-04 1.007522e+00 1.807569e+09 2.287083e+02 -3.292495e-02 -2.956356e-01 3.099442e-06 3.078396e+03
2.041731e+00 -3.876447e-05 1.432181e+01 1.349403e-04 1.007681e+00 1.888571e+09 2.389577e+02 -1.659775e-02 -2.905955e-01 -2.622604e-06 8.979850e+04
