#./underdamped_3d_var --dev=3 --amp=14 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp14.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
2.630266e+00 1.591665e-04 2.657302e+01 1.030211e-04 1.012975e+00 1.451917e+09 1.837082e+02 -2.888602e-02 -4.188173e-01 -6.610155e-05 4.065522e+03
2.754227e+00 9.168273e-05 2.673291e+01 1.034574e-04 1.000796e+00 1.452962e+09 1.838408e+02 -3.820604e-02 -4.174810e-01 -3.439188e-05 1.230697e+04
2.884029e+00 2.024354e-04 2.690105e+01 1.075845e-04 1.009739e+00 1.514717e+09 1.916542e+02 -6.651479e-02 -4.128305e-01 -2.747774e-05 2.624288e+03
3.019950e+00 1.244480e-04 2.707830e+01 1.119205e-04 1.003537e+00 1.565564e+09 1.980885e+02 -2.968138e-02 -4.113474e-01 -2.372265e-05 7.225602e+03
3.162276e+00 9.164347e-05 2.726498e+01 1.134607e-04 9.934511e-01 1.594698e+09 2.017744e+02 -3.252429e-02 -4.042946e-01 1.573563e-05 1.350860e+04
3.311309e+00 2.366470e-04 2.745975e+01 1.176796e-04 1.004418e+00 1.633692e+09 2.067074e+02 -6.109035e-02 -4.010954e-01 -3.039837e-06 2.100354e+03
3.467366e+00 3.011136e-04 2.766519e+01 1.217641e-04 9.994276e-01 1.696313e+09 2.146309e+02 -3.910571e-02 -3.940053e-01 1.323223e-05 1.341946e+03
3.630778e+00 2.243179e-04 2.788023e+01 1.254636e-04 9.971056e-01 1.759047e+09 2.225702e+02 -5.411172e-02 -3.889710e-01 1.060963e-05 2.492388e+03
3.801891e+00 1.314491e-04 2.810612e+01 1.309610e-04 9.954938e-01 1.832784e+09 2.318990e+02 -5.084765e-02 -3.944659e-01 -1.847744e-06 7.578263e+03
3.981068e+00 2.631822e-04 2.834180e+01 1.372024e-04 1.016222e+00 1.924246e+09 2.434713e+02 -5.313122e-02 -3.885327e-01 5.125999e-06 1.979837e+03
4.168690e+00 6.365662e-06 2.858900e+01 1.403564e-04 1.014496e+00 1.970762e+09 2.493575e+02 -4.638416e-02 -3.832655e-01 -6.496906e-06 3.463738e+06
4.365154e+00 3.041300e-04 2.884661e+01 1.445460e-04 9.875278e-01 2.019665e+09 2.555439e+02 -4.349810e-02 -3.763543e-01 2.145767e-06 1.561743e+03
4.570877e+00 -1.188330e-04 2.911641e+01 1.555484e-04 1.008325e+00 2.167910e+09 2.743008e+02 -5.994844e-02 -3.808736e-01 8.344650e-07 1.101418e+04
4.786296e+00 1.924582e-05 2.939654e+01 1.560154e-04 1.002160e+00 2.190193e+09 2.771213e+02 -5.268872e-02 -3.806667e-01 7.033348e-06 4.212050e+05
5.011867e+00 4.185405e-05 2.968977e+01 1.654554e-04 1.009471e+00 2.322978e+09 2.939227e+02 -4.992187e-02 -3.699630e-01 2.384186e-07 9.444988e+04
5.248068e+00 -2.847678e-05 2.999532e+01 1.716123e-04 1.014995e+00 2.414994e+09 3.055660e+02 -4.444325e-02 -3.631935e-01 1.549721e-06 2.116237e+05
5.495402e+00 -3.978753e-05 3.031288e+01 1.750466e-04 1.000668e+00 2.487825e+09 3.147795e+02 -6.476450e-02 -3.490037e-01 3.218651e-06 1.105747e+05
5.754392e+00 9.178844e-05 3.064284e+01 1.815507e-04 1.003537e+00 2.553169e+09 3.230490e+02 -5.218256e-02 -3.566599e-01 5.722046e-06 2.154774e+04
6.025588e+00 -1.706786e-05 3.098634e+01 1.897129e-04 9.972746e-01 2.675952e+09 3.385825e+02 -3.852993e-02 -3.440824e-01 1.549721e-06 6.512356e+05
6.309565e+00 2.493135e-04 3.134391e+01 1.979820e-04 1.010891e+00 2.756332e+09 3.487533e+02 -6.305212e-02 -3.521318e-01 -2.026558e-06 3.184180e+03
6.606925e+00 4.814850e-05 3.171472e+01 2.013442e-04 1.000321e+00 2.851878e+09 3.608414e+02 -6.698877e-02 -3.433012e-01 0.000000e+00 8.684975e+04
6.918300e+00 -1.067717e-05 3.210035e+01 2.116047e-04 9.860244e-01 2.972534e+09 3.761089e+02 -5.137575e-02 -3.285124e-01 3.457069e-06 1.856150e+06
7.244349e+00 -7.120977e-05 3.249901e+01 2.206220e-04 9.965077e-01 3.113862e+09 3.939910e+02 -5.999774e-02 -3.342947e-01 -3.576279e-07 4.350705e+04
7.585764e+00 2.959500e-04 3.291412e+01 2.275449e-04 9.977494e-01 3.183212e+09 4.027651e+02 -5.936426e-02 -3.261737e-01 0.000000e+00 2.596948e+03
7.943270e+00 -4.289842e-05 3.334386e+01 2.338259e-04 9.876967e-01 3.278898e+09 4.148720e+02 -4.308373e-02 -3.255039e-01 -5.364418e-07 1.270594e+05
8.317624e+00 6.150760e-06 3.378963e+01 2.463257e-04 1.001399e+00 3.458077e+09 4.375426e+02 -5.267978e-02 -3.112864e-01 -6.556511e-07 6.511066e+06
8.709621e+00 -1.674540e-04 3.425138e+01 2.540457e-04 1.007071e+00 3.559784e+09 4.504127e+02 -6.419003e-02 -3.155064e-01 7.033348e-06 9.058846e+03
9.120093e+00 1.101767e-04 3.472912e+01 2.606100e-04 9.977087e-01 3.667995e+09 4.641064e+02 -5.820024e-02 -3.031563e-01 4.768372e-07 2.146799e+04
9.549910e+00 -1.983217e-04 3.522507e+01 2.751104e-04 1.013192e+00 3.846527e+09 4.866950e+02 -6.860286e-02 -3.069450e-01 8.463860e-06 6.993659e+03
