#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
2.415001e+01 1.758389e-04 4.954259e+01 1.006500e-05 9.960904e-01 1.420276e+08 1.797047e+01 -5.904257e-03 -5.040191e-01 -2.782345e-04 3.245248e+02
2.450002e+01 1.389334e-04 4.894006e+01 1.571815e-06 9.487846e-01 2.215381e+07 2.803087e+00 -6.673336e-03 -5.013040e-01 -2.797246e-04 8.043070e+01
2.485002e+01 4.564039e-05 4.990287e+01 2.344002e-07 7.753488e-01 3.676599e+06 4.651923e-01 4.675019e-02 -5.089484e-01 -2.797246e-04 1.115277e+02
2.520002e+01 3.694063e-05 5.472069e+01 6.539736e-08 5.026593e-01 1.336462e+06 1.691006e-01 3.679898e-01 -5.053618e-01 -2.797246e-04 4.692385e+01
2.555002e+01 2.761014e-05 6.615388e+01 3.315679e-08 3.612774e-01 8.705313e+05 1.101470e-01 6.559533e-01 -5.077667e-01 -2.797246e-04 4.249458e+01
2.590002e+01 1.728858e-05 8.268360e+01 3.586919e-08 4.430973e-01 8.180234e+05 1.035030e-01 3.623631e-01 -5.019888e-01 -2.797246e-04 1.190060e+02
2.625002e+01 3.493378e-05 9.545871e+01 7.043896e-08 6.507463e-01 1.232043e+06 1.558882e-01 3.545058e-02 -5.068535e-01 -2.415776e-04 5.671939e+01
2.660002e+01 3.819975e-05 9.545871e+01 1.911206e-07 8.450037e-01 2.884501e+06 3.649711e-01 -1.635820e-02 -5.057653e-01 2.053976e-04 1.299744e+02
2.695002e+01 9.041683e-05 9.545871e+01 8.828983e-07 9.488581e-01 1.247570e+07 1.578524e+00 -2.160549e-03 -5.058121e-01 3.433228e-05 1.069971e+02
2.730002e+01 9.285409e-05 9.545871e+01 4.595452e-06 9.925820e-01 6.473518e+07 8.190858e+00 -7.711589e-03 -5.075728e-01 1.192093e-07 5.319987e+02
